src_slot,dst_slot,bits_total
0,8,262144
0,9,262144
0,10,262144
0,11,262144
0,12,262144
0,13,262144
0,14,262144
0,15,262144
1,8,262144
1,9,262144
1,10,262144
1,11,262144
1,12,262144
1,13,262144
1,14,262144
1,15,262144
2,8,262144
2,9,262144
2,10,262144
2,11,262144
2,12,262144
2,13,262144
2,14,262144
2,15,262144
3,8,262144
3,9,262144
3,10,262144
3,11,262144
3,12,262144
3,13,262144
3,14,262144
3,15,262144
4,8,262144
4,9,262144
4,10,262144
4,11,262144
4,12,262144
4,13,262144
4,14,262144
4,15,262144
5,8,262144
5,9,262144
5,10,262144
5,11,262144
5,12,262144
5,13,262144
5,14,262144
5,15,262144
6,8,262144
6,9,262144
6,10,262144
6,11,262144
6,12,262144
6,13,262144
6,14,262144
6,15,262144
7,8,262144
7,9,262144
7,10,262144
7,11,262144
7,12,262144
7,13,262144
7,14,262144
7,15,262144
